City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
569,Sri Aman,MY,84.25,few clouds,1.2376,111.4621,Seri Simanggang Hotel
570,Dwarka,IN,81.86,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
572,Alyangula,AU,74.37,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
575,Marsa Matruh,EG,77.2,scattered clouds,31.3525,27.2453,Beau Site
577,Mitsamiouli,KM,75.27,clear sky,-11.3847,43.2844,Foyer ADM
578,Sungaipenuh,ID,73.04,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
579,Khash,IR,82.44,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
583,Veraval,IN,81.68,overcast clouds,20.9,70.3667,Lords Inn Somnath
585,La Roda,ES,75.9,clear sky,39.2167,-2.15,Hotel-Restaurante El Sueño de Jemik
588,Celestun,MX,81.34,broken clouds,20.8667,-90.4,Posada Lilia
589,Westport,US,71.15,clear sky,41.1415,-73.3579,The Westport Inn
593,Shanghai,CN,89.46,clear sky,31.2222,121.4581,Swissotel Grand Shanghai
595,Yen Bai,VN,89.82,scattered clouds,21.7,104.8667,AK MOTEL
596,Zeya,RU,76.89,light rain,53.75,127.2667,Kapital Inn
601,Yashkul,RU,81.64,overcast clouds,46.1711,45.3435,"Gostinitsa ""Putnik"""
602,Buala,SB,84.49,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
605,Mayo,US,73.35,clear sky,38.8876,-76.5119,Resorts Resource Group International
609,Ladario,BR,74.73,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
610,San Miguel,SV,80.26,broken clouds,13.4833,-88.1833,Excalibur
613,North Platte,US,87.69,heavy intensity rain,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
617,Aguimes,ES,80.65,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
620,Manicore,BR,76.95,clear sky,-5.8092,-61.3003,Hotel Durval
621,Kutum,SD,78.04,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
623,Nara,JP,88.97,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
626,Banjar,ID,82.65,overcast clouds,-8.19,114.9675,The Hamsa Resort
629,Perbaungan,ID,78.91,light rain,3.5679,98.956,Bendang Lama
631,Nizhnyaya Omka,RU,74.43,scattered clouds,55.4338,74.9426,"Gostinitsa Om', Zhkkh"
632,Namatanai,PG,82.98,light rain,-3.6667,152.4333,Seagulls Inn Namatani
633,Manbij,SY,70.03,clear sky,36.5281,37.9549,Manbej City Hotel
635,Ruston,US,79.59,scattered clouds,32.5232,-92.6379,Sleep Inn & Suites University
637,Joshimath,IN,75.18,broken clouds,30.5667,79.5667,Shivalik Camps & Resort
638,La Ronge,CA,70.05,broken clouds,55.1001,-105.2842,Northland Motor Hotel
639,Sao Goncalo Do Amarante,BR,77.13,overcast clouds,-3.6072,-38.9683,Sunshine Inn
640,Hatsukaichi,JP,82.35,overcast clouds,34.35,132.3333,ホテル WAVE
641,Sarh,TD,78.71,few clouds,9.1429,18.3923,Domicile 1sur le goudron
646,Yorosso,ML,75.25,broken clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
654,Tikrit,IQ,84.81,clear sky,34.6071,43.6782,عماره العبطه
655,Delvine,AL,70.79,broken clouds,39.9511,20.0978,Vila Shuka
656,Olga,RU,73.83,light rain,43.7444,135.2892,Gostinitsa Rosmorport.
661,Bella Vista,US,84.81,clear sky,36.4295,-94.2316,The Inn at Bella Vista
662,Kalmunai,LK,83.79,overcast clouds,7.4167,81.8167,VS Villa
663,Dicabisagan,PH,88.03,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
664,Ankola,IN,78.62,moderate rain,14.6667,74.3,Hotel Kamat Plus
